UF,UF,MUNICÍPIO,CNPJ,FARMÁCIA,ENDEREÇO,BAIRRO,Data do Credenciamento
AL,2700300,ARAPIRACA,03.402.150/0001-10,DROGARIA VICENTE MAGALHAES LTDA, RUA VICENTE MAGALHAES 742  ,BANANEIRA,14/12/2012
AL,2700300,ARAPIRACA,05.230.009/0021-56,COMERCIAL DRUGSTORE LTDA, LUIZ PEREIRA LIMA 227 ,CENTRO,21/09/2011
AL,2700300,ARAPIRACA,05.325.467/0002-06,D A L COMERCIO LTDA, AV EXPEDICIONARIOS BRASILEIROS 771 LOJA 01  ,BAIXA GRANDE,30/09/2013
AL,2700300,ARAPIRACA,05.325.467/0003-97,D A L COMERCIO LTDA," RUA PAULO AFONSO, 329 - B  ",PRIMAVERA,15/04/2015
AL,2700300,ARAPIRACA,05.325.467/0005-59,D A L COMERCIO LTDA, rua FERNANDES LIMA  ,CENTRO,30/09/2013
AL,2700300,ARAPIRACA,06.198.619/0024-25,DROGATIM DROGARIAS LTDA," PRAÇA DEPUTADO MARQUES DA SILVA, 03  ",CENTRO,25/11/2010
AL,2700300,ARAPIRACA,06.198.619/0032-35,DROGATIM DROGARIAS LTDA, PRAÇA PC MANOEL ANDRE 09   ,CENTRO,31/12/2013
AL,2700300,ARAPIRACA,06.198.619/0045-50,DROGATIM DROGARIAS LTDA, AVENIDA RIO BRANCO 79   ,CENTRO,31/12/2013
AL,2700300,ARAPIRACA,06.198.619/0048-00,DROGATIM DROGARIAS LTDA, PRAÇA LUIZ PEREIRA LIMA 353   ,CENTRO,31/12/2013
AL,2700300,ARAPIRACA,06.198.619/0063-31,DROGATIM DROGARIAS LTDA," RUA BRASILIA, 43 - TERREO  ",BRASILIA,19/11/2014
AL,2700300,ARAPIRACA,06.626.253/0253-08,EMPREENDIMENTOS PAGUE MENOS S/A, MANUEL ANDRE 05 ,CENTRO,15/05/2006
AL,2700300,ARAPIRACA,07.335.550/0001-00,J ROBERTO DE JESUS MEDICAMENTOS," RUA EXP BRASILEIROS, 575  ",ELDORADO,09/07/2014
AL,2700300,ARAPIRACA,08.369.706/0003-07,A C G VILELA DE ALMEIDA," RUA SAO JOAO, 362 - LOJA B  ",SANTA ESMERALDA,15/04/2015
AL,2700300,ARAPIRACA,08.486.136/0001-65,DROGARIA VIANNA LTDA," BOA VISTA, 155  ",CENTRO,05/11/2009
AL,2700300,ARAPIRACA,12.451.050/0001-74,FARMACIA NACIONAL LTDA," MAL. GABINO BESOURO, 222  ",CENTRO,05/05/2010
AL,2700300,ARAPIRACA,12.451.050/0002-55,FARMACIA NACIONAL LTDA," RUA QUINZE DE NOVEMBRO, 74  ",CENTRO,04/07/2011
AL,2700300,ARAPIRACA,12.451.050/0003-36,FARMACIA NACIONAL LTDA," RUA PEDRO NUNES DE ALBUQUERQUE, N°222  ",CENTRO,03/03/2015
AL,2700409,ATALAIA,01.703.468/0001-05,ARNON DA SILVA RAPOSO," R. MARECHAL DEODORO, 850  ",CENTRO,31/10/2012
AL,2700409,ATALAIA,19.252.526/0001-97,ARNON S R FARMA LTDA," AVENIDA PEDRO PEREIRA ACIOLI, 322 - SALA 01  ",JOSE PAULINO,15/10/2018
AL,2700409,ATALAIA,24.628.100/0001-25,FARMA GRAO LTDA, MAJOR CICERO DE GOES MONTEIRO  ,CENTRO,11/01/2018
AL,2700508,BARRA DE SANTO ANTONIO,32.088.625/0001-43,E A N DA SILVA FARMACIA," AVENIDA BENEDITO CASADO, Nº 743  ",BARRA 01,29/09/2023
AL,2700508,BARRA DE SANTO ANTONIO,32.088.625/0002-24,E A N DA SILVA FARMACIA," AV AVENIDA CECILIA CANDIDA DA SILVA, N°710  ",ILHA DA CROA,15/05/2024
AL,2700706,BATALHA,00.326.003/0001-10,FARMACIA PADRE CICERO LTDA, AVEN PAULO DANTAS 176/B ,CENTRO,31/10/2012
AL,2700706,BATALHA,04.162.881/0001-06,JOSE MATIAS DROGARIA," RUA SANTA MARIA, 533  ",CENTRO,23/05/2012
AL,2700706,BATALHA,41.190.026/0001-27,MARIA DO CARMO MATIAS DAS NEVES," RUA JOAO MENDES DE OLIVEIRA, 51  ",CENTRO,11/10/2011
AL,2701001,BOCA DA MATA,11.910.387/0001-30,DROGARIA JEANE LTDA., 11 DE NOVEMBRO  ,CENTRO,31/08/2011
AL,2701209,CACIMBINHAS,14.379.182/0001-68,GLAUCIO GOMES LOPES, CORONEL CLARINDO AMORIM 197 ,CENTRO,05/05/2014
AL,2701308,CAJUEIRO,14.207.312/0001-85,M J S. RIBEIRO," AVENIDA IZAURA TOLEDO COSTA, 01  ",CENTRO,29/04/2014
AL,2701407,CAMPO ALEGRE,12.625.943/0001-99,REGIVAN DE FARIAS, SAO SEBASTIAO  ,LUZIAPOLIS,22/11/2013
AL,2701506,CAMPO GRANDE,12.040.691/0001-36,ALEX FERREIRA DOS SANTOS," PC ENOQUE BARBOSA, N°215  ",CENTRO,02/08/2024
AL,2701506,CAMPO GRANDE,43.450.756/0001-45,A MELO MEDEIROS DROGARIA, TRINTA E UM DE MAIO  ,CENTRO,26/11/2024
AL,2701605,CANAPI,03.759.648/0001-34,ELAINE MARIA FARIAS DE OLIVEIRA," AVENIDA JOAQUIM TETE, 289 - A  ",CENTRO,31/10/2012
AL,2701704,CAPELA,42.223.830/0001-28,E M P RIBEIRO COMERCIO E DROGARIA, JUVENCIO CORREIA ARAUJO  ,CENTRO,04/12/2023
AL,2701704,CAPELA,51.284.049/0001-54,M. M. NEVES LTDA," AVENIDA ROBSON MEDEIROS DE MELO, S/N  ",CENTRO,27/06/2024
AL,2701803,CARNEIROS,24.409.261/0003-90,GERALDO MESSIAS  DE  OLIVEIRA  FILHO LTDA," PRAÇA CONEGO JOSE BULHOES, 41  ",CENTRO,15/05/2024
AL,2701902,CHA PRETA,12.346.995/0001-26,LUIZ PEDRO PEREIRA OLIVEIRA," RUA CORONEL P TEIXEIRA, N°215 A  ",CENTRO,09/10/2024
AL,2702009,COITE DO NOIA,05.156.696/0001-63,MARIA DE FATIMA MIZAEL DA SILVA  LTDA," RUA GOVERNADOR LUIZ CAVALCANTE, Nº 74  ",CENTRO,26/03/2024
AL,2702009,COITE DO NOIA,45.634.493/0001-50,DROGARIA TENORIO LTDA," RUA HIGINO CAZUZA, N°91  ",CENTRO,26/12/2023
AL,2702108,COLONIA LEOPOLDINA,09.318.207/0001-83,FARMACIA PEREIRA LTDA, 15 DE NOVEMBRO 86 ,CENTRO,01/09/2014
AL,2702306,CORURIPE,02.316.261/0001-40,DROGCENTRO LTDA," LINDOLFO SIMOES, 69  ",CENTRO,03/02/2010
AL,2702306,CORURIPE,06.100.246/0001-11,M S A DROGARIA LTDA," LINDOLFO SIMOES, 236  ",CENTRO,03/02/2010
AL,2702306,CORURIPE,14.562.217/0001-08,G. L. DROGARIA N S DO PERPETUO SOCORRO LTDA," RUA LARGO SANTO ANTONIO, 186   ",CENTRO,13/05/2015
AL,2702355,CRAIBAS,04.970.318/0001-56,EMERSON CLECIO CALIXTO SIQUEIRA," MANOEL NUNES DA SILVA, Nº 60 A  ",CENTRO,25/01/2010
AL,2702405,DELMIRO GOUVEIA,02.684.542/0002-37,HUMBERTO JORGE FARIAS DE OLIVEIRA LTDA," AVENIDA PRESIDENTE CASTELO BRANCO, 299 - BOX C E D  ",CENTRO,15/10/2018
AL,2702405,DELMIRO GOUVEIA,05.230.009/0045-23,COMERCIAL DRUGSTORE LTDA, PRESIDENTE CASTELO BRANCO  ,CENTRO,11/01/2018
AL,2702405,DELMIRO GOUVEIA,05.462.423/0001-47,DROGARIA FARMACENTER LTDA," PRAÇA DELMIRO GOUVEIA, 145  ",CENTRO,26/11/2009
AL,2702504,DOIS RIACHOS,09.592.388/0001-31,ALBERTO EUZEBIO DA SILVA," PC DA INDEPENDENCIA, 25  ",CENTRO,07/05/2013
AL,2702504,DOIS RIACHOS,11.914.627/0001-74,MONTEIRO & SIQUEIRA FARMACIA LTDA," AV. MIGUEL VIEIRA DE NOVAIS, 44  ",CENTRO,31/10/2012
AL,2702504,DOIS RIACHOS,40.916.652/0001-95,MARILEIDE MATIAS DE AZEVEDO RODRIGUES," AVENIDA MIGUEL VIEIRA DE NOVAIS, 270   ",CENTRO,12/06/2015
AL,2702553,ESTRELA DE ALAGOAS,21.210.934/0001-28,E. S. DE AMORIM," RUA PADRE LUDUGERO, N°4  ",CENTRO,01/12/2023
AL,2702553,ESTRELA DE ALAGOAS,32.831.874/0001-87,J. J. DE OLIVEIRA NETO DROGARIA," RUA PREFEITO ENEAS SIMPLICIO, Nº 47  ",CENTRO,26/03/2024
AL,2702603,FEIRA GRANDE,17.514.771/0001-08,S S DA SILVA SANTOS E CIA LTDA," AVENIDA TEIXEIRA DE FREITAS, 2   ",CENTRO,15/05/2015
AL,2702603,FEIRA GRANDE,35.268.226/0001-52,RANIEL BISPO E CIA LTDA," RUA DO COMERCIO, 89, A  ",CENTRO,16/12/2011
AL,2702801,FLEXEIRAS,18.026.338/0001-88,GS COMERCIO DE MEDICAMENTOS LTDA, CEL ALCANTARA 452 ,CENTRO,13/02/2015
AL,2702900,GIRAU DO PONCIANO,18.493.321/0001-30,NUNES E MELO DROGARIA LTDA," RUA SAO JOSE, 58   ",CENTRO,15/05/2015
AL,2702900,GIRAU DO PONCIANO,40.907.966/0001-21,J. F. B. PINHEIRO FARMACIA," R SAO JOSE, 06  ",CENTRO,08/12/2014
AL,2703007,IBATEGUARA,09.318.207/0002-64,FARMACIA PEREIRA LTDA," R DRA JANETE DE ARAUJO, 33  ",CENTRO,01/09/2014
AL,2703007,IBATEGUARA,14.970.796/0001-10,NIVALDO ALVES CORREIA," RUA DOUTORA JANETE DE ARAUJO, 227  ",CENTRO,25/02/2015
AL,2703106,IGACI,10.838.555/0001-60,DROGARIA ROMISA LTDA," RUA DO COMERCIO, 62  ",CENTRO ,14/09/2010
AL,2703205,IGREJA NOVA,21.983.447/0001-06,DROGATOP COMERCIO DE MEDICAMENTOS LTDA," RUA NOSSA SENHORA APARECIDA, N °71 A  ",CENTRO,22/12/2023
AL,2703205,IGREJA NOVA,44.557.454/0002-14,SMART FARMA LTDA," SIT POVOADO IPIRANGA, S/N  ",ZONA RURAL,29/09/2023
AL,2703304,INHAPI,02.684.542/0001-56,HUMBERTO JORGE FARIAS DE OLIVEIRA LTDA," RUA DO COMERCIO, 99  ",CENTRO,31/10/2012
AL,2703403,JACARE DOS HOMENS,19.130.155/0001-70,J E S ARAUJO LTDA," RUA SANTO ANTONIO, 222 - S  ",CENTRO,13/05/2015
AL,2703759,JEQUIA DA PRAIA,10.929.776/0001-44,IVONETE BARBOSA GOMES, SANTA CRUZ 66 ,CENTRO,31/10/2012
AL,2703809,JOAQUIM GOMES,53.418.754/0001-22,MIX MED PHARMA LTDA," RUA DOUTOR TEOFILO DE BARROS, N°23  ",CENTRO,27/06/2024
AL,2703908,JUNDIA,47.421.439/0001-51,J M DA S JULIAO FARMACIA, NOSSA SENHORA DA CONCEICAO  ,CENTRO,13/02/2025
AL,2704005,JUNQUEIRO,02.287.961/0001-54,DROGARIA DOIS IRMAOS LTDA," RUA PADRE ANTONIO PROCOPIO, 82  ",CENTRO,12/01/2010
AL,2704104,LAGOA DA CANOA,13.030.645/0001-19,ROSANIA DE OLIVEIRA SANTOS FARMACIA," RUA DO COMERCIO, N°88  ",CENTRO,09/10/2024
AL,2704104,LAGOA DA CANOA,27.314.326/0001-40,WALLACE DE LIMA E SILVA MG FARMACIA," RUA VICENTE FERREIRA DE FARIAS, N°0188  ",CENTRO,15/05/2024
AL,2704203,LIMOEIRO DE ANADIA,03.402.150/0002-09,DROGARIA VICENTE MAGALHAES LTDA, RUA MANOEL FRANCISCO 06   ,CENTRO,31/12/2013
AL,2704302,MACEIO,01.549.008/0001-74,ELIANE GOMES CANABARRO," RUA GETULIO CORREIA LIMA, 239  ",VERGEL DO LAGO ,21/12/2012
AL,2704302,MACEIO,02.590.340/0001-45,FERNANDO FELINTO RIJO," STA.LUZIA, Nº 316  ",TAB.DOS MARTINS,02/10/2009
AL,2704302,MACEIO,03.004.699/0001-56,DROGA C LTDA, AV DURVAL DE GÓIS MONTEIRO 3212  ,TAB DOS MARTINS,18/02/2008
AL,2704302,MACEIO,03.668.154/0001-44,DROGARIA MACHADO LTDA," R. DR EURICO AYRES, 48  ",TABULEIRO DOS MARTINS,23/05/2012
AL,2704302,MACEIO,04.444.703/0001-60,H. PORTO VIEIRA LTDA," AV PRATAGY, QD B-53 CONJ. B. BENTES I  ",TAB. DOS MARTINS,23/10/2009
AL,2704302,MACEIO,05.230.009/0006-17,COMERCIAL DRUGSTORE LTDA," AVENIDA JUCA SAMPAIO, 154 - LOJA A  ",FEITOSA,31/12/2013
AL,2704302,MACEIO,05.230.009/0007-06,COMERCIAL DRUGSTORE LTDA," PRAÇA CENTENARIO, 798 - PC  ",FAROL,21/09/2011
AL,2704302,MACEIO,05.230.009/0008-89,COMERCIAL DRUGSTORE LTDA," AVENIDA FERNANDES LIMA, 1498  ",FAROL,21/09/2011
AL,2704302,MACEIO,05.230.009/0009-60,COMERCIAL DRUGSTORE LTDA, AVENIDA TOMAZ ESPINDOLA Nº 630  ,FAROL,24/08/2006
AL,2704302,MACEIO,05.230.009/0010-01,COMERCIAL DRUGSTORE LTDA," RUA DO COMERCIO, 168  ",CENTRO,21/09/2011
AL,2704302,MACEIO,05.230.009/0011-84,COMERCIAL DRUGSTORE LTDA," AVENIDA GOVERNADOR GUSTAVO PAIVA, 2990 - LJ. 144  ",MANGABEIRAS,21/09/2011
AL,2704302,MACEIO,05.230.009/0012-65,COMERCIAL DRUGSTORE LTDA," AVENIDA MOREIRA LIMA, 153  ",CENTRO,21/09/2011
AL,2704302,MACEIO,05.230.009/0013-46,COMERCIAL DRUGSTORE LTDA, AVENIDA  ALVARO OTACILIO Nº 2901  ,PONTA VERDE,24/08/2006
AL,2704302,MACEIO,05.230.009/0014-27,COMERCIAL DRUGSTORE LTDA, AVENIDA  FERNANDES LIMA Nº 471  ,FAROL,24/08/2006
AL,2704302,MACEIO,05.230.009/0015-08,COMERCIAL DRUGSTORE LTDA, AVENIDA JOÃO DAVINO Nº 383  ,MANGABEIRAS,24/08/2006
AL,2704302,MACEIO,05.230.009/0025-80,COMERCIAL DRUGSTORE LTDA," RUA BANCARIO RADY GUSMAO DO NASCIMENTO, 124  ",JATIUCA,21/09/2011
AL,2704302,MACEIO,05.596.930/0001-73,VALDIR ALVES DE LIMA, ANTONIO BUARQUE BRAGA 58 ,PORTO DA RUA,14/12/2012
AL,2704302,MACEIO,06.198.619/0005-62,DROGATIM DROGARIAS LTDA," FERNANDES LIMA, Nº 2576  ",GRUTA DE LOURDES,22/04/2010
AL,2704302,MACEIO,06.198.619/0012-91,DROGATIM DROGARIAS LTDA," DEPUTADO JOSE LAGES, Nº 372  ",PONTA VERDE,22/04/2010
AL,2704302,MACEIO,06.198.619/0014-53,DROGATIM DROGARIAS LTDA," RUA JANGADEIROS ALAGOANOS, 1300, B  ",PAJUCARA,25/11/2010
AL,2704302,MACEIO,06.198.619/0018-87,DROGATIM DROGARIAS LTDA," RUA PADRE SIZENANDO SILVA, Nº 92  ",JACINTINHO,22/04/2010
AL,2704302,MACEIO,06.198.619/0026-97,DROGATIM DROGARIAS LTDA," AVENIDA PRATAGY, 588, loja a quadra b 54  ",BENEDITO BENTES,25/11/2010
AL,2704302,MACEIO,06.198.619/0039-01,DROGATIM DROGARIAS LTDA," AV. FERNANDES LIMA, 3590  ",GRUTA DE LOURDES,25/11/2010
AL,2704302,MACEIO,06.198.619/0051-06,DROGATIM DROGARIAS LTDA, AVENIDA EMPRESARIO CARLOS DA SILVA NOGUEIRA 4187   ,JATIUCA,31/12/2013
AL,2704302,MACEIO,06.198.619/0056-02,DROGATIM DROGARIAS LTDA, MONSENHOR CLOVIS DUARTE DE BARROS 210 ,CENTRO,21/07/2014
AL,2704302,MACEIO,06.198.619/0057-93,DROGATIM DROGARIAS LTDA," AV MENINO MARCELO, N] 15, LOJA A  ",SERRARIA,31/12/2013
AL,2704302,MACEIO,06.198.619/0059-55,DROGATIM DROGARIAS LTDA, TRINTA DE OUTUBRO 217 ,CENTRO,31/12/2013
AL,2704302,MACEIO,06.198.619/0060-99,DROGATIM DROGARIAS LTDA, WANDERLEY 559 ,SANTA LUCIA,19/11/2014
AL,2704302,MACEIO,06.626.253/0138-06,EMPREENDIMENTOS PAGUE MENOS S/A," RUA DOUTOR ALFREDO OITICICA, N° 20  ",PITANGUINHA,24/03/2006
AL,2704302,MACEIO,06.626.253/0140-20,EMPREENDIMENTOS PAGUE MENOS S/A, AVENIDA ALVARO OTACILIO Nº30  ,PONTA VERDE,24/03/2006
AL,2704302,MACEIO,06.626.253/0151-83,EMPREENDIMENTOS PAGUE MENOS S/A," RUA JANGADEIROS ALAGOANOS, 1173  ",PAJUÇARA,24/03/2006
AL,2704302,MACEIO,06.626.253/0152-64,EMPREENDIMENTOS PAGUE MENOS S/A, ENGENHEIRO MARIO DE GUSMAO  ,PONTA VERDE,15/05/2006
AL,2704302,MACEIO,06.626.253/0163-17,EMPREENDIMENTOS PAGUE MENOS S/A, AVENIDA FERNANDES LIMA Nº 315  ,FAROL,24/03/2006
AL,2704302,MACEIO,06.626.253/0173-99,EMPREENDIMENTOS PAGUE MENOS S/A, AVENIDA JOÃO DIVINO Nº 266  ,MANGABEIRAS,24/03/2006
AL,2704302,MACEIO,06.626.253/0182-80,EMPREENDIMENTOS PAGUE MENOS S/A," AV MOREIRA LIMA, N°263  ",CENTRO,24/03/2006
AL,2704302,MACEIO,06.626.253/0186-03,EMPREENDIMENTOS PAGUE MENOS S/A, AV PRES GTULIO VARGAS N 4500  ,BARRO DURO ,24/03/2006
AL,2704302,MACEIO,06.626.253/0276-02,EMPREENDIMENTOS PAGUE MENOS S/A," RUA DEPUTADO JOSÉ LAGES, 627  ",PONTA VERDE,15/05/2006
AL,2704302,MACEIO,06.626.253/0315-45,EMPREENDIMENTOS PAGUE MENOS S/A," DURVAL DE GOES MONTEIRO, Nº 32  ",TABULEIRO DOS MARTINS,11/09/2009
AL,2704302,MACEIO,06.626.253/0425-80,EMPREENDIMENTOS PAGUE MENOS S/A," AVENIDA JUCA SAMPAIO, N° 2179-A  ",FEITOSA,18/02/2013
AL,2704302,MACEIO,06.626.253/0563-78,EMPREENDIMENTOS PAGUE MENOS S/A, AVENIDA FERNANDES LIMA 3500  ,GRUTA DE LOURDES,16/09/2014
AL,2704302,MACEIO,07.294.449/0001-59,PATRICIA DA SILVA CARVALHO SENNA," JORNALISTA NILTON OLIVEIRA, 2528, LOJA A  ",JACARECICA,25/01/2010
AL,2704302,MACEIO,07.603.063/0001-81,WILMAR DROGARIA LTDA, ANTONIO LISBOA DE AMORIM  ,CIDADE UNIVERSITARIA,17/06/2015
AL,2704302,MACEIO,08.369.706/0002-18,A C G VILELA DE ALMEIDA," RUA TOMAS ESPINDOLA, 472, A  ",FAROL,03/02/2010
AL,2704302,MACEIO,08.626.608/0001-38,DROGARIA CLIMA BOM LTDA, RUA DR JOAO CRISOSTOMO FARIAS 140 LOT CLIMA BOM   ,TABULEIRO DOS MATINS ,25/09/2006
AL,2704302,MACEIO,08.626.608/0003-08,DROGARIA CLIMA BOM LTDA,RUA DR JOAO CRISOSTOMO FARIAS Nº 140 CLIMA BOM,TAB DOS MARTINS,01/06/2007
AL,2704302,MACEIO,12.057.505/0001-71,R J INACIO COMERCIO LTDA," AVENIDA MOREIRA LIMA, Nº 150  ",CENTRO,30/12/2013
AL,2704302,MACEIO,12.302.253/0001-07,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," RUA BARAO DE ATALAIA, 705  ",CENTRO,20/10/2010
AL,2704302,MACEIO,12.302.253/0003-60,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," R ENG MARIO DE GUSMAO, 260 LOJA 7  ",PONTA VERDE,26/04/2011
AL,2704302,MACEIO,12.302.253/0010-90,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," RUA SENADOR MENDOÇA , 206  ",CENTRO,20/10/2010
AL,2704302,MACEIO,12.302.253/0012-51,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," RUA RIO BRANCO, 579  ",CENTRO,26/04/2011
AL,2704302,MACEIO,12.302.253/0013-32,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," RUA PROFESSOR JOSE DA SILVEIRA CAMERINO, 915  ",PINHEIRO,20/10/2010
AL,2704302,MACEIO,12.302.253/0015-02,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," PCA GENERAL GOES MONTEIRO, 780  ",FAROL,20/10/2010
AL,2704302,MACEIO,12.302.253/0018-47,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," AV JOAO DAVINO, 288  ",MANGABEIRAS,26/04/2011
AL,2704302,MACEIO,12.302.253/0019-28,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," AV MENINO MARCELO, 10601 A  ",SERRARIA,26/07/2011
AL,2704302,MACEIO,12.302.253/0025-76,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," RUA R JANGADEIROS ALAGOANOS, 665-A  ",PAJUCARA,20/10/2010
AL,2704302,MACEIO,12.302.253/0026-57,SAMPAIO DE MELO COMERCIO LTDA - EM RECUPERACAO JUDICIAL," R ENG. MARIO DE GUSMAO, 771  ",PONTA VERDE,26/04/2011
AL,2704302,MACEIO,12.499.604/0001-03,DROGARIA COMENDADOR LTDA," AVENIDA COMENDADOR LEAO, 972  ",POCO,23/05/2012
AL,2704302,MACEIO,12.622.999/0001-90,DROGARIA BARROS LTDA," RUA PRF JOSE DA S CAMERINO, 1018 - LOJA 01 02  ",FAROL,29/04/2014
AL,2704302,MACEIO,13.265.300/0001-44,RENAN OLIVEIRA DE ARAUJO," R. MINISTRO MARIO ANDREAZZA, Nº 100  ",VERGEL DO LAGO,30/12/2013
AL,2704302,MACEIO,13.651.985/0001-67,E L DE ARAUJO FARMACIA, rua ZACARIAS FONTAN DE MELO 12  ,TABULEIRO DOS MARTINS,30/12/2013
AL,2704302,MACEIO,15.088.572/0001-41,A M DE ESPINDOLA NETO, avenida DR JULIO MARQUES LUZ 2019 sala 03  ,JATIUCA,09/07/2014
AL,2704302,MACEIO,15.494.462/0001-80,FARMACIA SANTA ANITA LTDA," AVENIDA FERNANDES LIMA, Nº 2654  ",GRUTA DE LOURDES,30/12/2013
AL,2704302,MACEIO,15.511.317/0001-60,FARMACIA SAO SEVERINO LTDA," AV. DR DURVAL DE GOES MONTEIRO, N 4012  ",SANTA LUCIA,30/12/2013
AL,2704302,MACEIO,19.598.381/0001-80,COSTA FARMA FARMACIA LTDA," AVENIDA MONTE CASTELO, 773   ",VERGEL DO LAGO,16/06/2015
AL,2704302,MACEIO,21.111.189/0001-60,R A LIMA PINTO DROGARIA LTDA," AVENIDA ANTONIO LISBOA DE AMORIM, 23 - TERREO; LOJA: B  ",BENEDITO BENTES,12/06/2015
AL,2704302,MACEIO,21.204.040/0001-25,J G C LIMA E CIA LTDA, PROFESSOR JOSE DA SILVEIRA CAMERINO  ,PINHEIRO,12/06/2015
AL,2704302,MACEIO,35.729.466/0001-07,MARIA LOURENILDA GOMES DE ARAUJO, AV GOV.AFRANIO LAGES 100 LOJA 2  ,CAMBONA,07/10/2013
AL,2704302,MACEIO,40.920.803/0001-89,VIEIRA E SILVA FARMACIA LTDA," RUA SANTO ANTONIO, 846   ",PONTA GROSSA,25/02/2015
AL,2704302,MACEIO,41.022.872/0001-38,SOLANGE DE CASTRO ALVES FERRREIRA DE LIMA, DA PIEDADE 159 ,SALINAS,08/09/2011
